id,created_at,litter_id,mother_id,father_id,birth_date,death_date,missing_since,status,name,eye_color,fur_pattern,fur_length,gender,notes,fur_color
35,2025-10-05 02:24:19.315024+00,,,,,,,missing,Tiefa,green,solid,short,female,"Stray we adopted.
Russian blue
color: bluish-gray with a white patch between the legs.","[""blue""]"
37,2025-10-05 02:43:38.997017+00,4,35,,2021-12-31 10:01:00+00,,,alive,Rashaad,green,tuxedo,medium,male,,"[""black"",""white""]"
38,2025-10-05 02:49:13.226441+00,4,35,,2021-12-31 12:02:00+00,,2026-01-14 00:00:00+00,missing,Reimas,green,tuxedo,short,female,,"[""white"",""blue""]"
39,2025-10-05 02:51:11.658952+00,4,35,,2021-12-31 10:00:00+00,2022-11-07 10:00:00+00,,dead,Reital,green,tuxedo,medium,female,,"[""white"",""blue""]"
40,2025-10-05 02:57:40.438867+00,5,35,,2022-07-31 10:01:00+00,,,alive,Rasheed,green,tuxedo,short,male,,"[""white"",""blue""]"
41,2025-10-05 03:00:44.101481+00,5,35,,2022-07-31 10:00:00+00,2022-11-10 10:00:00+00,,dead,Retaag,green,calico,short,female,,"[""white"",""blue"",""fawn""]"
42,2025-10-05 03:10:31.869803+00,6,35,,2023-01-31 02:12:00+00,2024-07-06 09:00:00+00,,dead,Rashdan,green,mackerel_tabby,short,male,mom killed him(voice recording: reminder mama killed a cat),"[""white"",""brown""]"
43,2025-10-05 03:13:28.870804+00,6,35,,2023-01-31 02:30:00+00,,2024-12-04 22:00:00+00,missing,,green,calico,short,female,,"[""white"",""brown"",""orange""]"
44,2025-10-05 03:19:46.931874+00,7,35,,2023-06-18 13:22:00+00,2023-06-20 09:00:00+00,,dead,,,classic_tabby,medium,,,"[""white"",""brown""]"
45,2025-10-05 03:24:48.248992+00,7,35,,2023-06-18 14:00:00+00,,,alive,Moneera,green,tortoiseshell,short,female,,"[""orange"",""brown""]"
46,2025-10-05 03:26:45.547184+00,7,35,,2023-06-18 17:18:00+00,,,missing,Sameera,green,mackerel_tabby,short,female,,"[""brown"",""black""]"
47,2025-10-05 03:37:17.774976+00,8,39,37,2022-10-02 10:00:00+00,2022-11-11 10:00:00+00,,dead,,,solid,medium,,color: black with a white patch between the legs,"[""black"",""white""]"
48,2025-10-05 03:39:59.491411+00,8,39,37,2022-10-02 10:05:00+00,2022-11-12 10:00:00+00,,dead,,,tuxedo,medium,,,"[""white"",""black""]"
49,2025-10-05 03:42:24.744805+00,8,39,37,2022-10-02 10:10:00+00,2022-10-02 18:00:00+00,,dead,,,solid,medium,,,"[""white""]"
50,2025-10-05 04:00:47.726773+00,9,38,37,2023-01-28 14:04:00+00,,2025-02-04 10:00:00+00,missing,The Black One,green,solid,short,female,,"[""black""]"
51,2025-10-05 04:03:16.828248+00,9,38,37,2023-01-28 14:12:00+00,,,alive,The White One,green,solid,short,female,adopted by mom's friend,"[""white""]"
52,2025-10-05 04:06:16.493863+00,9,38,37,2023-01-28 14:26:00+00,2023-01-28 14:27:00+00,,dead,,,tuxedo,medium,,,"[""white"",""blue""]"
56,2025-10-05 04:34:49.087082+00,10,38,37,2023-07-10 07:55:00+00,2023-07-13 00:00:00+00,,dead,,,harlequin,short,,,"[""white"",""blue""]"
57,2025-10-05 04:37:10.207489+00,10,38,37,2023-07-10 08:05:00+00,2023-07-28 00:00:00+00,,dead,,,van,medium,,,"[""white"",""black""]"
58,2025-10-05 04:38:40.168813+00,10,38,37,2023-07-10 07:05:00+00,2023-07-19 00:00:00+00,,dead,,,tuxedo,medium,,,"[""white"",""black""]"
59,2025-10-05 04:48:48.819325+00,11,38,,2024-05-22 08:50:00+00,2024-05-23 14:40:00+00,,dead,,,calico,short,,,"[""white"",""black"",""orange""]"
60,2025-10-05 04:50:17.487456+00,11,38,,2024-05-22 09:10:00+00,2024-05-22 09:15:00+00,,dead,,,calico,short,,,"[""white"",""black"",""orange""]"
61,2025-10-05 04:52:18.522161+00,11,38,,2024-05-22 11:25:00+00,,,alive,Tiefa junior,green,solid,short,male,,"[""blue""]"
62,2025-10-05 04:53:55.685262+00,11,38,,2024-05-22 11:28:00+00,,,alive,Fahd,green,solid,short,male,cross-eyed,"[""black""]"
63,2025-10-05 05:00:27.696863+00,12,38,,2025-03-12 00:00:00+00,2025-03-14 00:00:00+00,,dead,,,calico,short,,,"[""black"",""white"",""orange""]"
64,2025-10-05 05:02:28.681611+00,12,38,,2025-03-12 00:00:00+00,2025-04-11 00:00:00+00,,dead,,,calico,medium,,,"[""white"",""orange"",""blue""]"
65,2025-10-05 05:03:56.869737+00,12,38,,2025-03-12 00:00:00+00,2025-04-12 00:00:00+00,,dead,,,,medium,,,
66,2025-10-05 05:06:39.759179+00,12,38,,2025-03-12 00:00:00+00,2025-04-15 00:00:00+00,,dead,,,,short,,,
67,2025-10-05 05:11:09.174563+00,13,38,,2025-07-06 05:20:00+00,2025-07-06 05:20:00+00,,dead,,,,medium,,,
68,2025-10-05 05:13:25.100885+00,13,38,,2025-07-06 08:13:00+00,2025-11-08 00:00:00+00,,dead,Zaheera,green,harlequin,short,female,,"[""white"",""blue""]"
